,ADDR_PCT_CD,BORO_NM,JURISDICTION_CODE,LAW_CAT_CD,Latitude,Longitude,FIPS
1518,28,MANHATTAN,0.0,MISDEMEANOR,40.803762784,-73.95269772,360610218004002
1519,25,MANHATTAN,0.0,MISDEMEANOR,40.797630235999996,-73.934224402,360610188001000
1520,44,BRONX,0.0,FELONY,40.833722039,-73.915415538,360050179011001
1521,115,QUEENS,0.0,VIOLATION,40.770348991,-73.87596723600001,360810357001000
1522,25,MANHATTAN,0.0,MISDEMEANOR,40.797630235999996,-73.934224402,360610188001000
1523,115,QUEENS,0.0,VIOLATION,40.770348991,-73.87596723600001,360810357001000
1524,71,BROOKLYN,0.0,MISDEMEANOR,40.663341242,-73.96017925,360470327002001
1525,60,BROOKLYN,0.0,FELONY,40.57759019,-73.976476464,360470350001001
1526,90,BROOKLYN,1.0,FELONY,40.700733765,-73.941933307,360470491002003
1527,73,BROOKLYN,2.0,FELONY,40.662767503000005,-73.907529526,360470912003001
1528,60,BROOKLYN,97.0,MISDEMEANOR,40.576872874,-74.01159640899999,360470336004003
1529,71,BROOKLYN,0.0,MISDEMEANOR,40.66416202,-73.94681682,360470331003001
1530,17,MANHATTAN,0.0,FELONY,40.755988005,-73.969190893,360610098002001
1531,73,BROOKLYN,0.0,FELONY,40.682883854,-73.914467513,360470373003000
1532,114,QUEENS,0.0,VIOLATION,40.77139421,-73.926614487,360810083002000
1533,32,MANHATTAN,0.0,MISDEMEANOR,40.811751909,-73.9508605,360610215001001
1534,43,BRONX,0.0,VIOLATION,40.837904322,-73.863239509,360050216021001
1535,63,BROOKLYN,0.0,FELONY,40.619611426,-73.907801835,360470700002004
1536,42,BRONX,0.0,FELONY,40.824267332,-73.909295973,360050185001008
1537,49,BRONX,0.0,FELONY,40.856162956999995,-73.844397124,360050296002000
1538,63,BROOKLYN,0.0,VIOLATION,40.608008972,-73.91102678,360470702014009
1539,26,MANHATTAN,2.0,MISDEMEANOR,40.814763236,-73.958806155,360610211004001
1540,5,MANHATTAN,0.0,FELONY,40.718921422,-73.996090942,360610041003000
1541,101,QUEENS,0.0,VIOLATION,40.594051846,-73.789135257,360810964001020
1542,52,BRONX,0.0,MISDEMEANOR,40.859996492,-73.904081224,360050253001002
1543,60,BROOKLYN,0.0,MISDEMEANOR,40.576325477,-73.967801451,360470360011001
1544,50,BRONX,11.0,MISDEMEANOR,40.885033465,-73.91437742,360050297001001
1545,28,MANHATTAN,2.0,VIOLATION,40.79845524,-73.948082015,360610186001004
1546,70,BROOKLYN,0.0,FELONY,40.636317204,-73.963499336,360470520002003
1547,84,BROOKLYN,0.0,MISDEMEANOR,40.689968325,-73.98217382600001,360470015003008
1548,102,QUEENS,0.0,VIOLATION,40.689598845999996,-73.859797165,360810010002004
1549,47,BRONX,0.0,MISDEMEANOR,40.897860173000005,-73.854774903,360050418001000
1550,47,BRONX,0.0,MISDEMEANOR,40.897860173000005,-73.854774903,360050418001000
1551,120,STATEN ISLAND,0.0,MISDEMEANOR,40.62461087,-74.079599621,360850027001001
1552,26,MANHATTAN,0.0,MISDEMEANOR,40.813774094,-73.955985313,360610219001015
1553,45,BRONX,0.0,MISDEMEANOR,40.863834998,-73.822021885,360050302005003
1554,47,BRONX,0.0,MISDEMEANOR,40.897860173000005,-73.854774903,360050418001000
1555,52,BRONX,0.0,MISDEMEANOR,40.859337124,-73.903315775,360050239004001
1556,23,MANHATTAN,0.0,MISDEMEANOR,40.786865179,-73.950210803,360610158022001
1557,108,QUEENS,0.0,MISDEMEANOR,40.740901027,-73.895808391,360810483002007
1558,41,BRONX,0.0,FELONY,40.811852697,-73.90225764899999,360050083005000
1559,67,BROOKLYN,0.0,FELONY,40.640475291,-73.948464361,360470828001001
1560,26,MANHATTAN,0.0,MISDEMEANOR,40.812950638000004,-73.95588109399999,360610209011000
1561,44,BRONX,0.0,MISDEMEANOR,40.843496411,-73.90539891,360050229022004
1562,18,MANHATTAN,0.0,MISDEMEANOR,40.756978196,-73.978340613,360610096001002
1563,18,MANHATTAN,0.0,MISDEMEANOR,40.758232371,-73.977430585,360610104001007
1564,67,BROOKLYN,0.0,MISDEMEANOR,40.639994931,-73.94841428699999,360470828001001
1565,113,QUEENS,0.0,VIOLATION,40.670947438,-73.77055045600001,360810334026012
1566,122,STATEN ISLAND,0.0,MISDEMEANOR,40.595365808000004,-74.086179432,360850096012000
1567,13,MANHATTAN,97.0,MISDEMEANOR,40.740824511,-73.97426085800001,360610062001001
1568,73,BROOKLYN,0.0,MISDEMEANOR,40.668349565999996,-73.906516063,360470908003003
1569,48,BRONX,0.0,FELONY,40.851739287,-73.887621022,360050391002002
1570,45,BRONX,2.0,MISDEMEANOR,40.820672004,-73.824055827,360050144003001
1571,68,BROOKLYN,0.0,MISDEMEANOR,40.622153897,-74.02728485600001,360470138003001
1572,68,BROOKLYN,0.0,MISDEMEANOR,40.622153897,-74.02728485600001,360470138003001
1573,61,BROOKLYN,0.0,MISDEMEANOR,40.607455114000004,-73.954158538,360470552001002
1574,28,MANHATTAN,0.0,MISDEMEANOR,40.807105652,-73.94598016,360610222002001
1575,44,BRONX,0.0,MISDEMEANOR,40.83807157,-73.914278845,360050221021001
1576,23,MANHATTAN,0.0,MISDEMEANOR,40.786178294,-73.948611589,360610158022000
1577,120,STATEN ISLAND,0.0,MISDEMEANOR,40.614086564000004,-74.072459084,360850008001013
1578,26,MANHATTAN,0.0,MISDEMEANOR,40.821127753,-73.95746178600001,360610223013001
1579,1,MANHATTAN,0.0,MISDEMEANOR,40.710093846999996,-74.01060963,360610013001007
1580,17,MANHATTAN,0.0,MISDEMEANOR,40.756820413,-73.972135884,360610100001005
1581,44,BRONX,0.0,MISDEMEANOR,40.834823080999996,-73.915977885,360050179013001
1582,28,MANHATTAN,0.0,MISDEMEANOR,40.810476043,-73.951880151,360610257001000
1583,43,BRONX,0.0,MISDEMEANOR,40.823387290999996,-73.87017045,360050046001005
1584,19,MANHATTAN,0.0,MISDEMEANOR,40.770757344,-73.959876747,360610128005000
1585,25,MANHATTAN,0.0,MISDEMEANOR,40.797004701,-73.93468731899999,360610188001001
1586,26,MANHATTAN,0.0,MISDEMEANOR,40.818773621,-73.959793605,360610219001007
1587,61,BROOKLYN,0.0,MISDEMEANOR,40.607701233,-73.95192546,360470550002001
1588,79,BROOKLYN,0.0,MISDEMEANOR,40.67984749,-73.939384473,360470273003002
1589,62,BROOKLYN,0.0,MISDEMEANOR,40.603058776,-73.995690785,360470290003000
1590,19,MANHATTAN,0.0,FELONY,40.772022344,-73.958951735,360610128001001
1591,26,MANHATTAN,0.0,MISDEMEANOR,40.81802453,-73.960422693,360610219001006
1592,103,QUEENS,0.0,MISDEMEANOR,40.704661687,-73.79690410399999,360810446012002
1593,43,BRONX,0.0,MISDEMEANOR,40.830883557,-73.858863475,360050072004000
1594,30,MANHATTAN,0.0,VIOLATION,40.830532404,-73.941520113,360610235014000
1595,104,QUEENS,0.0,MISDEMEANOR,40.724732143000004,-73.893333469,360810495001014
1596,108,QUEENS,0.0,FELONY,40.744569625,-73.930754532,360810179001019
1597,84,BROOKLYN,0.0,VIOLATION,40.694006943000005,-73.99144049600001,360470009001000
1598,94,BROOKLYN,0.0,MISDEMEANOR,40.714887011,-73.944446059,360470497003003
1599,13,MANHATTAN,0.0,MISDEMEANOR,40.740160295,-73.99480502600001,360610087001003
1600,47,BRONX,0.0,MISDEMEANOR,40.890284716,-73.85910627199999,360050408002000
1601,113,QUEENS,0.0,FELONY,40.674698936,-73.798033613,360810182001010
1602,78,BROOKLYN,0.0,MISDEMEANOR,40.684461543000005,-73.97775121,360470129011000
1603,52,BRONX,0.0,MISDEMEANOR,40.865155015,-73.892996163,360050399014001
1604,10,MANHATTAN,0.0,FELONY,40.755607737,-73.994695538,360610111003000
1605,42,,,FELONY,40.830478518,-73.896152335,360050153003002
