,Location,Longitude,Latitude,Borough,FIPS
1230,3RD AVE,-73.918261,40.815621,Bronx,360050043002001
1231,WHITE PLAINS RD,-73.858879,40.824752000000004,Bronx,360050042006002
1232,BOSTON RD,-73.853122,40.873545,Bronx,360050364003003
1233,MORRIS AV,-73.912667,40.835514,Bronx,360050177024000
1234,STORY AV,-73.866837,40.823211,Bronx,360050042001000
1235,STORY AV,-73.879811,40.821284000000006,Bronx,360050028003000
1236,HUGH GRANT CIRCLE,-73.861317,40.833679,Bronx,360050216025002
1237,3 AV,-73.908377,40.824457,Bronx,360050185004002
1238,OGDEN AV,-73.92645300000001,40.838267,Bronx,360050199004000
1239,SEDGWICK AV,-73.8924,40.8824,Bronx,360050409001002
1240,HUNTS POINT AV,-73.891318,40.820588,Bronx,360050089001000
1241,E TREMONT AV,-73.836343,40.839420000000004,Bronx,360050264003007
1242,Dreiser Loop East,-73.82799,40.87828,Bronx,360050462014003
1243,E FORDHAM RD,-73.900576,40.862479,Bronx,360050239001001
1244,Williamsbridge Rd,-73.852974,40.852557,Bronx,360050288001006
1245,ALLERTON AV,-73.858029,40.86558,Bronx,360050344001002
1246,OGDEN AV,-73.928748,40.83424,Bronx,360050189004002
1247,OGDEN AV,-73.928055,40.835473,Bronx,360050193004002
1248,MORRIS PARK AV,-73.84793,40.850963,Bronx,360050286001001
1249,LACONIA AV,-73.849536,40.884063,Bronx,360050404001004
1250,EASTCHESTER RD,-73.84613399999999,40.876849,Bronx,360050358001004
1251,E GUN HILL RD,-73.860235,40.875508,Bronx,360050368002002
1252,E 229 ST,-73.84343299999999,40.885376,Bronx,360050458001000
1253,Concourse Village East,-73.91968299999999,40.823553000000004,Bronx,360050061002001
1254,Dreiser Loop West,-73.829431,40.878054999999996,Bronx,360050462013000
1255,ALLERTON AV,-73.865768,40.865559999999995,Bronx,360050338004003
1256,EDSON AV,-73.832531,40.867059999999995,Bronx,360050356002009
1257,MORRIS AV,-73.913145,40.83509,Bronx,360050179011000
1258,E TREMONT AV,-73.877143,40.840077,Bronx,360050220001010
1259,METROPOLITAN AV,-73.861038,40.833793,Bronx,360050216025002
1260,E 174 ST,-73.884074,40.836024,Bronx,360050161002001
1261,MORRIS AV,-73.926103,40.812781,Bronx,360050051002008
1262,SOUTHERN BLVD,-73.882549,40.850765,Bronx,360050393006000
1263,Grand Concourse,-73.921313,40.828837,Bronx,360050183012000
1264,BAILEY AV,-73.89835699999999,40.883864,Bronx,360050279001001
