LAW_CAT_CD,Latitude,Longitude,FIPS
VIOLATION,40.832663966999995,-73.877260393,360050056001001
VIOLATION,40.653009068,-73.957882516,360470796021001
VIOLATION,40.64020305,-73.941658085,360470832001002
VIOLATION,40.606576841,-74.118635392,360850173002000
VIOLATION,40.851554101,-73.865861001,360050224043001
VIOLATION,40.641474095,-74.014104718,360470074001000
VIOLATION,40.79890842,-73.963114023,360610189005000
VIOLATION,40.641745891,-73.954405229,360470790004000
VIOLATION,40.641745891,-73.954405229,360470790004000
VIOLATION,40.774562861999996,-73.912627558,360810115002004
VIOLATION,40.599638873,-74.079375393,360850064001001
VIOLATION,40.717603945,-73.996329109,360610041003001
VIOLATION,40.858377933,-73.90506685,360050251001000
VIOLATION,40.881755556,-73.882355561,360050421002000
VIOLATION,40.576872874,-74.01159640899999,360470336004003
VIOLATION,40.596431562,-73.784677067,360810972034003
VIOLATION,40.757379872,-73.984126607,360610119001000
VIOLATION,40.716493863000004,-73.75826933100001,360810484003002
VIOLATION,40.64020305,-73.941658085,360470832001002
VIOLATION,40.66830303,-73.939517526,360470337002001
VIOLATION,40.715832818,-73.986297278,360610014022006
VIOLATION,40.851098634,-73.90803040600001,360050241001001
VIOLATION,40.76544897,-73.8728501,360810357002007
VIOLATION,40.660979433,-73.924677872,360470884002002
VIOLATION,40.875835589,-73.856016286,360050368001002
VIOLATION,40.639630691,-74.024063545,360470022003008
VIOLATION,40.635238132,-73.88977988100001,360471022001005
VIOLATION,40.812227638,-73.918517122,360050041002000
VIOLATION,40.835940593000004,-73.890321938,360050155002003
VIOLATION,40.762270335,-73.94025885,360810039001004
VIOLATION,40.826798975,-73.891410165,360050125001003
VIOLATION,40.787261037,-73.97905300000002,360610171005000
VIOLATION,40.672425585999996,-73.763140753,360810330001004
VIOLATION,40.701171953,-73.73914535600001,360810590001007
VIOLATION,40.669088844,-73.788995364,360810788002000
VIOLATION,40.607543430999996,-74.118226543,360850173002000
VIOLATION,40.759017021999995,-73.860138354,360810373002004
VIOLATION,40.743163108000005,-74.003758198,360610083003000
VIOLATION,40.642924065,-74.09418268399999,360850081001005
