,NAME,LINE,Longitude,Latitude,FIPS
784,Whitlock Ave & Westchester Ave at SE corner,6,-73.886082,40.827295,3.60E+14
785,Hunts Point Ave & 163rd St at SE corner,6,-73.890836,40.820591,3.60E+14
786,Hunts Point Ave & 163rd St at SE corner,6,-73.890442,40.820819,3.60E+14
787,Southern Blvd & Longwood Ave at SW corner,6,-73.896506,40.816263,3.60E+14
788,Southern Blvd & Longwood Ave at NW corner,6,-73.896224,40.81652,3.60E+14
789,Southern Blvd & 149th St at NW corner,6,-73.904102,40.812331,3.60E+14
790,Southern Blvd & 149th St at NW corner,6,-73.903797,40.812367,3.60E+14
791,Southern Blvd & St Mary's St at SW corner,6,-73.908065,40.808179,3.60E+14
792,Southern Blvd & St Mary's St at NW corner,6,-73.908002,40.808322,3.60E+14
793,Cypress Ave & 138th St at NE corner,6,-73.913391,40.805234,3.60E+14
794,Cypress Ave & 138th St at NE corner,6,-73.913208,40.805155,3.60E+14
795,Brook Ave & 138th St at NW corner,6,-73.919347,40.807747,3.60E+14
796,Brook Ave & 138th St at NE corner,6,-73.918957,40.80758,3.60E+14
797,Alexander Ave & 138th St at NW corner,6,-73.925386,40.810282,3.60E+14
798,Alexander Ave & 138th St at SW corner,6,-73.925641,40.810102,3.60E+14
799,Alexander Ave & 138th St at NW corner,6,-73.925267,40.810241,3.60E+14
800,Alexander Ave & 138th St at SW corner,6,-73.925438,40.810019,3.60E+14
801,Jerome Ave & Bainbridge Ave at SW corner,4,-73.878376,40.886819,3.60E+14
802,Jerome Ave & Bainbridge Ave at SE corner,4,-73.87812,40.886737,3.60E+14
803,Jerome Ave & Mosholu Pkwy at SW corner,4,-73.88447,40.880077,3.60E+14
804,Jerome Ave & Mosholu Pkwy at SE corner,4,-73.884244,40.879899,3.60E+14
805,Jerome Ave & Bedford Park Blvd at SW corner,4,-73.889754,40.873528,3.60E+14
806,Jerome Ave & Kingsbridge Rd at NW corner,4,-73.897418,40.867606,3.60E+14
807,Jerome Ave & Kingsbridge Rd at NE corner,4,-73.897152,40.86762,3.60E+14
808,Jerome Ave & Kingsbridge Rd at NE corner,4,-73.897039,40.867766,3.60E+14
809,Jerome Ave & Fordham Rd at SW corner,4,-73.901367,40.862562,3.60E+14
810,Jerome Ave & Fordham Rd at SE corner,4,-73.90097,40.862592,3.60E+14
811,Jerome Ave & Fordham Rd at NW corner,4,-73.901262,40.86289,3.60E+14
812,Jerome Ave & Fordham Rd at NE corner,4,-73.900815,40.862814,3.60E+14
813,Jerome Ave & 183rd St at SW corner,4,-73.904099,40.858267,3.60E+14
814,Jerome Ave & 183rd St at NE corner,4,-73.90369,40.858453,3.60E+14
815,Jerome Ave & 183rd St at NW corner,4,-73.904088,40.858477,3.60E+14
816,Jerome Ave & Burnside Ave at SW corner,4,-73.907977,40.853313,3.60E+14
817,Jerome Ave & Burnside Ave at SE corner,4,-73.907782,40.853181,3.60E+14
818,Jerome Ave & Burnside Ave at SW corner,4,-73.907654,40.85367,3.60E+14
819,Jerome Ave & Burnside Ave at SE corner,4,-73.907393,40.853596,3.60E+14
820,Jerome Ave & 176th St at NW corner,4,-73.912003,40.848385,3.60E+14
821,Jerome Ave & 176th St at SE corner,4,-73.911633,40.848501,3.60E+14
