FIPS,Resp_HI
36061023900,4.55
36061024000,4.871
36061024100,4.739
36061024200,4.376
36061024301,4.378
36061024302,4.74
36061024500,4.93
36061024700,4.487
36061024900,4.285
36061025100,4.547
36061025300,5.323
36061025500,6.809
36061025700,4.741
36061025900,5.026
36061026100,8.229
36061026300,9.168
36061026500,15.352
36061026700,4.745
36061026900,5.429
36061027100,8.699
36061027300,6.247
36061027500,8.572
36061027700,5.125
36061027900,8.246
36061028100,5.964
36061028300,7.734
36061028500,8.221
36061028700,6.64
36061029100,6.968
36061029300,6.262
36061029500,8.875
36061029700,3.375
36061029900,4.425
36061030300,7.095
36061030700,6.673
36061030900,5.981
36061031100,2.88
36061031703,5.419
36061031704,5.667
36061031900,3.952
36081000100,4.807
36081000200,3.088
36081000400,3.23
36081000600,3.208
36081000700,5.018
36081000800,3.73
36081001000,3.514
36081001200,3.201
36081001400,3.739
36081001600,4.103
36081001800,3.924
36081001900,5.222
36081002000,4.067
36081002200,4.239
36081002400,3.995
36081002500,6.155
36081002600,4.036
36081002800,4.176
36081003000,3.905
36081003100,5.176
36081003200,3.939
36081003300,5.294
36081003400,3.623
36081003600,4.061
36081003700,X
36081003800,4.065
36081003900,4.009
36081004001,4.003
36081004002,4.72
36081004200,4.091
36081004300,3.966
36081004401,4.796
36081004500,3.893
36081004700,4.195
36081005000,3.962
36081005100,4.419
36081005200,4.273
36081005300,4.245
36081005400,4.459
36081005500,4.939
36081005700,4.385
36081005800,5.595
36081005900,4.324
36081006100,4.261
36081006201,5.818
36081006202,6.133
36081006300,4.244
36081006501,4.778
36081006502,4.482
36081006900,4.05
36081007100,4.165
36081007300,4.109
36081007500,4.183
36081007700,3.965
36081007900,3.927
36081008100,3.834
36081008300,3.819
36081008500,4.012
36081008600,4.238
36081008700,3.779
36081008800,5.772
36081009100,3.869
36081009400,4.19
36081009500,4.761
36081009600,4.345
36081009700,4.115
36081009800,4.598
36081009900,2.592
36081010000,4.449
36081010100,3.906
36081010200,4.256
36081010300,3.721
36081010400,4.481
36081010500,3.815
36081010600,4.392
36081010701,X
36081010800,4.215
36081011000,4.215
36081011100,4
36081011200,4.197
36081011300,4.069
36081011400,4.233
36081011500,4.155
36081011600,4.078
36081011700,4.066
36081011800,3.95
36081011900,4.109
36081012000,4.216
36081012100,4.018
36081012200,4.262
36081012301,3.863
36081012400,4.141
36081012500,5.286
36081012601,4.126
36081012602,4.024
36081012800,3.963
36081013000,4.223
36081013200,4.974
36081013400,3.846
36081013500,4.027
36081013600,3.889
36081013700,4.698
36081013800,4.302
36081014000,5.485
36081014100,4.929
36081014201,4.524
36081014202,4.059
36081014300,4.32
36081014400,5.004
36081014500,4.25
36081014700,4.366
36081014800,4.334
36081014900,4.211
36081015000,4.41
36081015100,4.151
36081015200,5.488
36081015300,4.366
36081015400,4.398
36081015500,4.372
36081015600,4.612
36081015700,4.958
36081015801,5.216
36081015802,4.53
36081015900,5.139
36081016100,5.458
36081016300,4.373
36081016400,4.443
36081016600,4.388
36081016800,4.591
36081016900,4.586
36081017000,5.254
36081017100,3.858
36081017200,4.53
36081017400,4.588
36081017600,4.749
36081017800,4.672
36081017900,6.32
36081018000,5.442
36081018101,6.592
36081018102,6.769
36081018200,5.365
36081018300,5.995
36081018401,5.24
36081018402,4.938
36081018501,5.219
36081018502,5.082
36081018600,5.768
36081018700,7.141
36081018800,5.307
36081018900,4.645
36081019000,4.505
36081019200,5.244
36081019400,5.085
36081019600,4.542
36081019800,5.062
36081019900,4.544
36081020200,6.157
36081020400,4.877
36081020500,4.627
36081020600,5.377
36081020800,4.816
36081021200,4.587
36081021400,5.304
36081021600,5.554
36081021900,2.465
